iter	Passed	Remaining
409	3689	5309
410	3694	5294
411	3699	5280
412	3707	5270
413	3713	5255
414	3720	5244
415	3726	5231
416	3731	5216
417	3739	5206
418	3744	5192
419	3751	5180
420	3757	5167
421	3762	5152
422	3769	5142
423	3775	5128
424	3787	5124
425	3792	5110
426	3799	5098
427	3806	5087
428	3811	5072
429	3819	5063
430	3825	5050
431	3834	5041
432	3838	5027
433	3843	5012
434	3851	5001
435	3856	4988
436	3861	4975
437	3869	4965
438	3875	4951
439	3880	4939
440	3886	4926
441	3891	4912
442	3897	4900
443	3902	4886
444	3907	4873
445	3915	4863
446	3920	4850
447	3925	4836
448	3932	4825
449	3937	4811
450	3941	4798
451	3948	4786
452	3952	4773
453	3957	4759
454	3964	4748
455	3969	4735
456	3974	4722
457	3980	4710
458	3985	4697
459	3990	4684
460	3997	4673
461	4002	4660
462	4006	4647
463	4013	4636
464	4030	4637
465	4050	4641
466	4056	4630
467	4064	4620
468	4069	4607
469	4075	4595
470	4080	4583
471	4085	4570
472	4091	4559
473	4096	4546
474	4101	4533
475	4107	4522
476	4114	4511
477	4119	4499
478	4126	4488
479	4131	4475
480	4136	4463
481	4142	4452
482	4147	4439
483	4152	4427
484	4159	4416
485	4163	4403
486	4173	4396
487	4181	4386
488	4186	4375
489	4195	4366
490	4201	4355
491	4210	4347
492	4215	4335
493	4222	4325
494	4227	4312
495	4232	4300
496	4238	4290
497	4243	4277
498	4248	4265
499	4255	4255
500	4260	4243
501	4265	4231
502	4272	4221
503	4276	4208
504	4281	4196
505	4289	4187
506	4293	4175
507	4298	4163
508	4306	4153
509	4316	4146
510	4325	4138
511	4330	4127
512	4338	4118
513	4343	4106
514	4348	4094
515	4355	4084
516	4360	4073
517	4364	4061
518	4371	4051
519	4376	4039
520	4381	4027
521	4387	4017
522	4392	4006
523	4401	3998
524	4409	3989
525	4416	3979
526	4421	3968
527	4426	3956
528	4430	3944
529	4437	3934
530	4442	3923
531	4446	3911
532	4453	3901
533	4457	3890
534	4462	3878
535	4468	3868
536	4473	3857
537	4478	3845
538	4484	3835
539	4489	3824
540	4494	3812
541	4500	3803
542	4506	3792
543	4514	3784
544	4520	3774
545	4525	3763
546	4533	3754
547	4538	3743
548	4543	3732
549	4552	3724
550	4558	3714
551	4568	3707
552	4574	3697
553	4584	3690
554	4589	3679
555	4595	3669
556	4601	3659
557	4607	3649
558	4614	3640
559	4619	3629
560	4624	3618
561	4630	3608
562	4636	3598
563	4641	3587
564	4648	3578
565	4653	3567
566	4657	3557
567	4664	3547
568	4669	3537
569	4674	3526
570	4681	3516
571	4686	3506
572	4692	3497
573	4697	3486
574	4704	3477
575	4711	3467
576	4715	3457
577	4721	3446
578	4727	3437
579	4732	3427
580	4737	3416
581	4743	3407
582	4748	3396
583	4753	3385
584	4761	3377
585	4766	3367
586	4771	3357
587	4778	3348
588	4783	3337
589	4789	3328
590	4794	3318
591	4799	3307
592	4806	3298
593	4811	3288
594	4816	3278
595	4823	3269
596	4832	3261
597	4844	3256
598	4849	3246
599	4856	3237
600	4861	3227
601	4866	3217
602	4873	3208
603	4878	3198
604	4883	3188
605	4889	3178
606	4894	3168
607	4899	3158
608	4905	3149
609	4910	3139
610	4915	3129
611	4921	3120
612	4926	3110
613	4931	3100
614	4937	3091
615	4942	3081
616	4947	3071
617	4954	3062
618	4962	3054
619	4969	3045
620	4976	3036
621	4981	3027
622	4988	3018
623	4994	3009
624	4998	2999
625	5005	2990
626	5010	2980
627	5014	2970
628	5021	2961
629	5026	2951
630	5030	2941
631	5039	2934
632	5044	2924
633	5050	2915
634	5055	2905
635	5060	2896
636	5066	2887
637	5071	2877
638	5077	2868
639	5084	2859
640	5089	2850
641	5095	2841
642	5103	2833
643	5108	2824
644	5115	2815
645	5120	2805
646	5125	2796
647	5131	2787
648	5136	2778
649	5141	2768
650	5148	2759
651	5153	2750
652	5158	2741
653	5165	2732
654	5170	2723
655	5175	2714
656	5182	2705
657	5188	2696
658	5193	2687
659	5200	2678
660	5205	2669
661	5209	2660
662	5216	2651
663	5222	2642
664	5229	2634
665	5234	2625
666	5239	2615
667	5245	2607
668	5250	2597
669	5255	2588
670	5261	2579
671	5266	2570
672	5270	2561
673	5277	2552
674	5282	2543
675	5286	2533
676	5293	2525
677	5298	2516
678	5303	2507
